time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-26 00:00:00+00:00,537,8,292,99
2024-07-27 00:00:00+00:00,330,8,65,35
2024-07-28 00:00:00+00:00,103,6,40,21
2024-07-29 00:00:00+00:00,245,5,310,106
2024-07-30 00:00:00+00:00,775,12,426,119
2024-07-31 00:00:00+00:00,359,15,245,111
2024-08-01 00:00:00+00:00,896,11,315,125
2024-08-02 00:00:00+00:00,1075,13,355,91
2024-08-03 00:00:00+00:00,291,12,77,26
2024-08-04 00:00:00+00:00,173,22,41,23
2024-08-05 00:00:00+00:00,103,7,250,121
2024-08-06 00:00:00+00:00,428,14,251,120
2024-08-07 00:00:00+00:00,410,8,298,118
2024-08-08 00:00:00+00:00,775,13,284,101
